"Asutuse registrikood";"Asutuse nimi";"Avaldusel märgitud asutuse maakond";"Tegevusala";"Tegevusala (EMTAK 2)";"Tegevusala (EMTAK 2 kood)";"Hüvitise saajate arv";"Sh hüvitise saajad, kes saanud hüvitist ühe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kahe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kolme kuu eest";"Hüvitiste brutosumma EUR";"Hüvitiste kogukulu EUR"
14123605;"Tumlare Corporation Estonia OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;187;8;66;113;362083,05;484467,14
11070736;"osaühing Inchcape Motors Estonia";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;193;19;174;0;356545,45;477057,84
90011065;"Sihtasutus Teater Vanemuine";"Tartu maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;358;308;50;0;353365,36;472802,81
10775392;"Osaühing HUMANA SORTEERIMISKESKUS";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;243;7;236;0;344447,48;460870,59
12920728;"Nordic Crew Management OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Tööhõive";78;139;2;14;123;342999,62;458933,42
11693733;"OÜ SPA Tours";"Saare maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;285;37;248;0;339308,9;453995,13
10731489;"OÜ Via 3L";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;212;13;199;0;337674,94;451809
10325720;"Aktsiaselts ESTRAVEL";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;141;13;8;120;332821,76;445315,46
10678223;"AS Õhtuleht Kirjastus";"Harju maakond";"INFO JA SIDE";"Kirjastamine";58;186;0;186;0;327552,87;438265,78
10041810;"HOTELL OLÜMPIA AS";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;196;9;16;171;324806,16;434590,58
10044777;"aktsiaselts Sanatoorium Tervis";"Pärnu maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;211;21;29;161;323832,88;433288,13
10347466;"Aktsiaselts Kaupmees & Ko";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;251;54;197;0;323366,83;432664,81
10258395;"Hilding Anders Baltic AS";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;210;38;172;0;321581,39;430275,99
90012596;"Sihtasutus Eesti Kontsert";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;145;3;10;132;318978,43;426793,17
10097696;"aktsiaselts Jalax";"Järva maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;144;9;19;116;318579,32;426259,06
11306570;"Lunden Food OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;257;14;243;0;313735,36;419777,79
10951185;"OÜ McKenzie Invest";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;241;29;212;0;308353,64;412576,96
11474735;"Navalis Group OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Masinate ja seadmete remont ja paigaldus";33;187;0;187;0;307089,32;410885,55
10167362;"osaühing KRIMELTE";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Kemikaalide ja keemiatoodete tootmine";20;170;6;164;0;305651,24;408961,37
10508596;"Stoneridge Electronics AS";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Mootorsõidukite, haagiste ja poolhaagiste tootmine";29;179;4;175;0;301813,11;403825,95
10034023;"Promens AS";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Kummi- ja plasttoodete tootmine";22;195;7;188;0;299720,44;401026,01
14033842;"Delux Production OÜ";"Viljandi maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;159;4;10;145;295060,71;394791,09
10310546;"Instrumentarium Optika Osaühing";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Muu tootmine";32;195;6;189;0;294815,92;394463,71
10338119;"Aktsiaselts TOILA SANATOORIUM";"Ida-Viru maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;185;4;62;119;288544,91;386072,91
10159983;"OÜ Novoloto";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Hasartmängude ja kihlvedude korraldamine";92;211;4;207;0;280637,43;375492,84
10953787;"AS Sokotel";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;188;14;58;116;279188,07;373553,57
11112305;"OÜ Swissotel Estonia";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;170;58;16;96;278612,83;372783,88
10078598;"aktsiaselts INFO-AUTO";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;148;4;144;0;278159,17;372176,98
10037240;"Haapsalu Uksetehase Aktsiaselts";"Lääne maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;154;12;142;0;275781,77;368996,04
10569340;"Unimed Kliinikud OÜ";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;175;26;149;0;274570,3;367375,09
10677712;"Sportland Eesti Aktsiaselts";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;296;103;193;0;272943,59;365198,57
10301984;"AS Palmako";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;208;100;108;0;264708,53;354179,99
12964950;"Regional Jet OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Õhutransport";51;107;2;23;82;264465,99;353855,44
10711179;"Osaühing Esperan";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;202;18;35;149;264083,5;353343,54
12494266;"Milrem AS";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Mootorsõidukite, haagiste ja poolhaagiste tootmine";29;97;1;5;91;262883,51;351738,12
10235879;"Osaühing Rademar";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;203;7;196;0;261929,75;350461,9
10813224;"LPP Estonia OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;242;14;228;0;260267,62;348238,08
10657801;"Baltic Workboats AS";"Saare maakond";"TÖÖTLEV TÖÖSTUS";"Muude transpordivahendite tootmine";30;142;12;130;0;259714,85;347498,49
90008465;"Sihtasutus Tallinna Hambapolikliinik";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;159;28;131;0;258755,76;346215,17
10230847;"AS HANSABUSS";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;132;11;67;54;257480,68;344509,19
10092701;"aktsiaselts PRINTALL";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Trükindus ja salvestiste paljundus";18;177;57;120;0;256307,82;342939,89
12140752;"Lantmännen Unibake Estonia AS";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;144;5;139;0;254133,12;340030,18
10275471;"Estonia Spa Hotels AS";"Pärnu maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;218;2;216;0;251209,32;336117,85
10889581;"PUHASTUSPROFF OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Hoonete ja maastike hooldus";81;286;16;270;0;246875,72;330319,24
12964393;"Vapi People OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Tööhõive";78;171;1;37;133;242705,35;324739,47
10497987;"Rapala Eesti Aktsiaselts";"Pärnu maakond";"TÖÖTLEV TÖÖSTUS";"Muu tootmine";32;206;9;197;0;239797,89;320849,5
10138917;"Osaühing KAARLI HAMBAPOLIKLIINIK";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;134;10;124;0;238751,7;319449,75
11146853;"Sportradar OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Muu kutse-, teadus- ja tehnikaalane tegevus";74;96;1;2;93;237552,62;317845,41
10042896;"aktsiaselts SUNOREK";"Harju maakond";"EHITUS";"Eriehitustööd";43;141;4;137;0;235951,79;315703,48
10048350;"MERITON HOTELS AS";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;140;4;61;75;232518,67;311109,98
11333035;"HesePeople OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Tööhõive";78;367;367;0;0;231156,27;309287,08
14636247;"Ramirent Modular Factory AS";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;92;3;4;85;229341,89;306859,42
10099637;"OÜ BALTMAN";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;150;8;27;115;228727,18;306036,86
10250287;"Aktsiaselts Toom Tekstiil";"Viljandi maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;193;23;170;0;226642,46;303247,46
14335034;"Aktsiaselts Medicum Tervishoiuteenused";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;162;20;142;0;225053,24;301121,26
10068915;"P. DUSSMANN EESTI Osaühing";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Hoonete ja maastike hooldus";81;277;44;233;0;219488,76;293675,84
10406134;"AS R-Kiosk Estonia";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;254;72;182;0;218981,32;292996,86
10303948;"Qvalitas Arstikeskus AS";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;134;14;120;0;217406,92;290890,45
90008666;"Sihtasutus Vene Teater";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;103;0;18;85;215059,55;287749,58
