"Asutuse registrikood";"Asutuse nimi";"Avaldusel märgitud asutuse maakond";"Tegevusala";"Tegevusala (EMTAK 2)";"Tegevusala (EMTAK 2 kood)";"Hüvitise saajate arv";"Sh hüvitise saajad, kes saanud hüvitist ühe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kahe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kolme kuu eest";"Hüvitiste brutosumma EUR";"Hüvitiste kogukulu EUR"
11082001;"EAST EXPRESS OÜ";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;6;0;6;0;9552,38;12781,08
10022681;"Osaühing Hankasport";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;6;0;0;6;9550,89;12779,07
10633829;"Osaühing PALLANTIS GRUPP";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;11;0;11;0;9548;12775,18
10017208;"Osaühing Keila Gnoom";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;12;2;10;0;9548;12775,18
12162892;"Aedniku Pubi OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;9;2;7;0;9541,19;12766,11
12644895;"Osaühing Beno Rent";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;9;5;4;0;9540,81;12765,6
11683806;"Adfactory Design OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Muu tootmine";32;4;0;0;4;9537,16;12760,72
11348829;"Rufter Ehitus OÜ";"Tartu maakond";"EHITUS";"Eriehitustööd";43;9;7;2;0;9535,73;12758,8
10240018;"OSAÜHING ILVERE";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;8;0;8;0;9535,13;12758,01
10365978;"AS LANDESTE";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;7;0;7;0;9530,42;12751,7
10099531;"Aktsiaselts Mainor";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;5;0;5;0;9524,44;12743,7
10880344;"osaühing Sauna Pesuteenus";"Tartu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;7;1;2;4;9522,66;12741,3
11520889;"Bellerton Invest OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;9;1;0;8;9519,58;12737,2
11378865;"WERROWOOL OÜ";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Muude mittemetalsetest mineraalidest toodete tootmine";23;5;0;0;5;9516,79;12733,47
12750858;"Esthus Ehitus OÜ";"Tartu maakond";"EHITUS";"Hoonete ehitus";41;5;0;5;0;9515,11;12731,22
14579512;"Reinmaa & Partnerid Advokaadibüroo OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;7;1;6;0;9515;12731,05
10145863;"OSAÜHING LOITSUKELLER";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;8;0;8;0;9511,36;12726,18
14671131;"Dentalmarket.ee OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Büroohaldus, büroode ja muu äritegevuse abitegevused";82;5;0;5;0;9510,04;12724,44
11506122;"Roosikrantsi Puhastuse OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;8;0;8;0;9510;12724,38
10000219;"Aktsiaselts Year";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Rõivatootmine";14;13;2;11;0;9507,16;12720,59
10073626;"osaühing TÜRI-VAIP";"Järva maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;9;0;9;0;9506,17;12719,26
11621931;"Kuldstar KS OÜ";"Harju maakond";"EHITUS";"Hoonete ehitus";41;6;0;6;0;9502,41;12714,21
14191222;"Advokaadibüroo Turnstone OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;6;2;4;0;9497,96;12708,28
11305228;"AR Ehitus OÜ";"Harju maakond";"EHITUS";"Hoonete ehitus";41;11;2;9;0;9492;12700,26
11311720;"OÜ Akdeniz";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;10;1;5;4;9489,73;12697,22
10007291;"Osaühing OPELAAS";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;7;1;6;0;9489,48;12696,91
10544758;"Tallinna Kaubamaja Kinnisvara Aktsiaselts";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;10;10;0;0;9486;12692,27
80050271;"Mittetulundusühing Ida-Virumaa Koolitus";"Ida-Viru maakond";"HARIDUS";"Haridus";85;5;0;0;5;9483,67;12689,13
11530250;"OÜ APRANGA PB TRADE";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;13;1;12;0;9476,66;12679,76
10669744;"LEIF ANDERSSON OÜ";"Hiiu maakond";"HALDUS- JA ABITEGEVUSED";"Tööhõive";78;7;0;7;0;9471,58;12672,96
10360768;"Kespri Arhiiv OÜ";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Raamatukogude, arhiivide, muuseumide ja muude kultuuriasutuste tegevus";91;9;1;8;0;9470,66;12671,71
11699405;"Vexer OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;4;0;0;4;9470,53;12671,58
14118297;"BCJ OÜ";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;8;1;7;0;9468,8;12669,26
10054474;"TREUR Transport Tulundusühistu";"Ida-Viru maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;11;2;9;0;9467,2;12667,1
10225609;"Osaühing KIRKLAND";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;6;0;6;0;9466,44;12666,09
10811538;"Sunny IT Teenused OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;5;0;5;0;9459,94;12657,4
10163855;"osaühing Kallaste Rand";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;7;0;0;7;9456,77;12653,13
11103097;"OÜ VEOKIREMONT";"Pärnu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;7;1;6;0;9455,67;12651,68
10015362;"aktsiaselts TAUF-AUTO";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;7;0;7;0;9445,83;12638,51
10977233;"Osaühing DairyTec";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;5;0;5;0;9444,33;12636,52
12336366;"Ninja Solutions AS";"Harju maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;6;2;4;0;9442,11;12633,54
11349390;"osaühing Värvispectrum";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;6;0;6;0;9441,28;12632,45
10907114;"Estplast Tootmine OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Kummi- ja plasttoodete tootmine";22;11;11;0;0;9440,55;12631,45
14483551;"V Motors OÜ";"Viljandi maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;5;0;5;0;9436,28;12625,75
10736498;"OÜ KUMMIBOX";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;9;1;8;0;9432,56;12620,79
11557071;"MÕISA HAMBARAVI OÜ";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;5;0;5;0;9431,37;12619,16
14815639;"Pizza Cafe OÜ";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;11;0;11;0;9429,91;12617,18
12583780;"Wolfprint 3D OÜ";"Pärnu maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;10;10;0;0;9425,33;12611,09
12725872;"FCC OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;7;0;7;0;9424,92;12610,54
12187423;"Agri Partner OÜ";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;5;0;5;0;9422;12606,63
11016323;"OÜ Aruut";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;10;10;0;0;9420,21;12604,25
11611706;"Setnera OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;4;0;1;3;9415,89;12598,48
12240844;"Tristore OÜ";"Tartu maakond";"HALDUS- JA ABITEGEVUSED";"Tööhõive";78;5;0;2;3;9413,99;12595,92
11670070;"Hensan Vent OÜ";"Tartu maakond";"EHITUS";"Eriehitustööd";43;6;0;6;0;9412,36;12593,76
11623075;"Union Travel Agency OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;8;0;4;4;9410,79;12591,63
14163473;"Alphaoptic OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;8;0;8;0;9407,42;12587,1
11346687;"OSAÜHING Seriakol";"Harju maakond";"EHITUS";"Hoonete ehitus";41;9;0;9;0;9402,6;12580,67
11543655;"WELLE OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;13;4;9;0;9402,12;12580,01
12110900;"OÜ Geodata Arendus";"Harju maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;5;0;5;0;9396,94;12573,1
11177807;"Autokliinik OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;5;0;1;4;9396,71;12572,77
11492319;"Klinger Baltic OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;5;0;5;0;9396,3;12572,25
11601122;"OÜ MÜÜGIEKSPERT INVEST";"Valga maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;6;0;0;6;9382,56;12553,86
11080887;"Järve Juuksurisalong OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;7;0;7;0;9380,52;12551,13
10897497;"Osaühing Reisipaus";"Lääne-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;5;0;1;4;9377,04;12546,47
10369568;"Aktsiaselts TAALI IDA";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;20;20;0;0;9374,89;12543,58
10103706;"osaühing SIVERO";"Lääne maakond";"EHITUS";"Eriehitustööd";43;6;0;1;5;9369,98;12537,03
11453733;"OÜ Hellmann Worldwide Logistics";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;6;0;6;0;9367,1;12533,16
10636176;"Osaühing BREVINI";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;7;0;0;7;9366;12531,67
14054554;"Mets ja Kopp OÜ";"Võru maakond";"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK";"Metsamajandus ja metsavarumine";2;8;1;7;0;9361,72;12525,98
11440831;"AutoSalong OÜ";"Viljandi maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;8;0;8;0;9361,49;12525,67
11484797;"Osaühing Loo Autokeskus";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;7;0;7;0;9353,84;12515,44
10876561;"Krone ScanBalt OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;5;0;5;0;9353,8;12515,39
11963612;"Albert Ehitus OÜ";"Valga maakond";"EHITUS";"Hoonete ehitus";41;8;4;4;0;9353,62;12515,17
12070017;"Vectio OÜ";"Tartu maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;10;2;8;0;9351,16;12511,85
10224551;"Osaühing MA-FASHION GRUPP";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;8;1;7;0;9347,96;12507,56
12321413;"Kasesalga OÜ";"Rapla maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;6;0;0;6;9342,16;12499,79
10896428;"GRIS Kaubanduse OÜ";"Lääne-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;10;1;9;0;9340,78;12497,96
11903596;"OÜ Taikse Puit";"Järva maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;7;0;7;0;9335,83;12491,33
10356070;"Autopark Metra Osaühing";"Saare maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;6;0;2;4;9331,86;12486,02
14017731;"Workland Estonia OÜ";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;5;0;5;0;9330,3;12483,93
10383083;"Atoy Automotive Estonia OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;10;10;0;0;9326,61;12479
11699428;"Artekom OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;4;0;0;4;9326,05;12478,26
10766559;"Ecostern OÜ";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;7;4;3;0;9326,04;12478,23
14213165;"Ketecor OÜ";"Rapla maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;11;11;0;0;9322,85;12473,97
11964072;"Seacom International OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;8;0;3;5;9322,52;12473,5
14567897;"Restaur Baltic OÜ";"Harju maakond";"EHITUS";"Hoonete ehitus";41;6;0;6;0;9320,06;12470,26
11229421;"Coleido Projekt OÜ";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;6;0;6;0;9319,06;12468,91
12272413;"Investoriteliit.ee OÜ";"Tartu maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;7;0;3;4;9317,67;12467,04
10006794;"OSAÜHING NAFTAAL";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;7;0;7;0;9312,88;12460,62
12958783;"Caribalt Electronic Equipment OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;5;0;5;0;9311,79;12459,17
12808641;"Unicosmetic OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;7;0;7;0;9308,98;12455,4
10216238;"Osaühing Viljandi KEK";"Viljandi maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;7;0;7;0;9293,55;12434,77
10171895;"Heelix Grupp AS";"Valga maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;11;1;10;0;9289,99;12429,99
;"Notar Triin Lekk";"Harju maakond";;;;5;0;5;0;9289,31;12429,09
80405811;"Tallink - City Spordiklubi";"Harju maakond";"HARIDUS";"Haridus";85;6;0;6;0;9283,95;12421,93
11928679;"OÜ Mööblitehas";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Mööblitootmine";31;6;0;6;0;9283,19;12420,91
80049049;"Mittetulundusühing Moreno Keskus";"Harju maakond";"HARIDUS";"Haridus";85;5;0;5;0;9273,38;12407,8
10360113;"Veoautokeskuse OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;4;0;1;3;9272,86;12407,09
12583120;"Vinmark Grupp OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;7;1;1;5;9272,82;12407,01
11049653;"Osaühing Saundland";"Lääne-Viru maakond";"HALDUS- JA ABITEGEVUSED";"Rentimine ja kasutusrent";77;5;0;0;5;9272,12;12406,07
12333161;"Maran Projekt OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;8;3;5;0;9271,49;12405,25
10069234;"osaühing Kanvera";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;5;0;0;5;9266,24;12398,23
10109072;"Rahvusvahelise Kaubandus-ja Reklaami Vahenduse osaühing";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;6;1;0;5;9263,78;12394,93
10848045;"OÜ Futurtek";"Tartu maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;11;1;10;0;9252,45;12379,75
11466575;"Cityman Eesti OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Kummi- ja plasttoodete tootmine";22;7;0;7;0;9252,06;12379,24
80125359;"Mittetulundusühing FC Kuressaare Jalgpallikool";"Saare maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;6;0;6;0;9249,97;12376,46
10937794;"Osaühing Lillede Villa";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;7;0;7;0;9249,23;12375,46
10977552;"Osaühing Kuukulgur Film";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;7;1;6;0;9248,81;12374,89
12365971;"Taurax OÜ";"Lääne-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;10;0;10;0;9248,6;12374,6
11138345;"Fimole OÜ";"Tartu maakond";"EHITUS";"Eriehitustööd";43;8;1;7;0;9237,79;12360,18
11322632;"OÜ Tubren";"Rapla maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;11;11;0;0;9231,83;12352,21
12797185;"Woolish Knitting OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Rõivatootmine";14;8;0;8;0;9228,55;12347,77
14117606;"Anne Apteegid OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;11;11;0;0;9225,47;12343,67
14773059;"Crowdestate AS";"Harju maakond";"INFO JA SIDE";"Infoalane tegevus";63;5;0;5;0;9220,6;12337,16
14738597;"GirlsBeautyBar OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;7;0;7;0;9218,03;12333,74
12372310;"Manakamana OÜ";"Tartu maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;9;3;6;0;9214,3;12328,76
14268829;"Bouche Food OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;9;0;9;0;9206,34;12318,06
10339124;"OSAÜHING JÕHVI HAMBAPOLIKLIINIK";"Ida-Viru maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;7;0;0;7;9201,57;12311,7
10041968;"Aktsiaselts NCC & PO";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;6;0;6;0;9197,18;12305,83
10202928;"Plastiktoos OÜ";"Hiiu maakond";"TÖÖTLEV TÖÖSTUS";"Kummi- ja plasttoodete tootmine";22;6;0;6;0;9192,99;12300,21
10187347;"Osaühing Süsi SG";"Viljandi maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;12;0;12;0;9190,55;12296,93
12616002;"EstTruffe OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;7;0;1;6;9189,72;12295,82
11736980;"OÜ LGT Konsultatsioonid";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;6;0;6;0;9186,21;12291,17
10447529;"osaühing BOUNTY";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;8;2;2;4;9181,33;12284,61
11175062;"Plaan 2 OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Arhitekti- ja inseneritegevused; teimimine ja analüüs";71;6;0;6;0;9180,49;12283,49
10943978;"OÜ Mööblirestauraator";"Tartu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Arvutite ning tarbeesemete ja kodutarvete parandus";95;7;0;1;6;9173,73;12274,4
12666483;"A! Veod pesula OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;8;0;8;0;9168,5;12267,44
11922783;"Jaxel OÜ";"Võru maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;5;0;0;5;9168,3;12267,16
12421824;"BRAND TEXTILE OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;13;3;10;0;9167,84;12266,54
11155485;"AT Sport Osaühing";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;10;10;0;0;9161,6;12258,22
10118145;"osaühing Carramba";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;6;0;0;6;9160,1;12256,2
11625080;"Helios kirjastus OÜ";"Harju maakond";"INFO JA SIDE";"Kirjastamine";58;5;1;0;4;9158,72;12254,37
;"Notar Tiina Tomberg";"Tartu maakond";;;;5;0;5;0;9156,46;12251,35
10830702;"Osaühing ETAPP SN";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;7;0;0;7;9154,74;12249
10238234;"Osaühing VAAROS";"Järva maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;8;0;8;0;9148,19;12240,26
10171205;"Biltex OÜ";"Valga maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;8;0;8;0;9146,99;12238,67
12365333;"Fagel Automaatika OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;6;1;5;0;9132,48;12219,25
12653492;"Auto Tallinn OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;6;0;1;5;9126,98;12211,9
10520278;"A.V.S.K. OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;9;0;9;0;9124,31;12208,32
90014129;"Sihtasutus Lõuna-Eesti Golf";"Valga maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;7;1;6;0;9122,89;12206,42
11875828;"Huntfood OÜ";"Tartu maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;9;0;9;0;9122,31;12205,63
12883097;"Optimist Public OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;5;0;5;0;9120;12202,56
11190676;"Osaühing Stabira";"Lääne-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;8;0;8;0;9117,95;12199,81
10972017;"Osaühing VIDKAM";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;7;0;0;7;9114;12194,49
